"","Independ.Claim","Test.Type","DF","Crit.Value","P.Value",""
"1","NEP ~ PhyllospadixLoss + ...","coef",9,0.6575,0.5273,""
"2","Light ~ MicroMacroAlgaeCover + ...","coef",11,-1.3705,0.1978,""
"3","MaxTemp ~ MicroMacroAlgaeCover + ...","coef",11,-0.7553,0.4659,""
"4","NtoPRatio ~ MicroMacroAlgaeCover + ...","coef",11,-1.9962,0.0713,""
"5","NEC ~ MicroMacroAlgaeCover + ...","coef",9,-0.4032,0.6962,""
"6","pH ~ MicroMacroAlgaeCover + ...","coef",10,-0.4416,0.6682,""
"7","NtoPRatio ~ Light + ...","coef",11,0.2216,0.8287,""
"8","NEC ~ Light + ...","coef",9,-1.127,0.2889,""
"9","pH ~ Light + ...","coef",10,0.8481,0.4162,""
"10","NtoPRatio ~ MaxTemp + ...","coef",11,0.4319,0.6741,""
"11","NEP ~ MaxTemp + ...","coef",8,0.8974,0.3957,""
"12","pH ~ MaxTemp + ...","coef",10,-1.3428,0.209,""
"13","NEC ~ NtoPRatio + ...","coef",9,0.1365,0.8945,""
"14","pH ~ NtoPRatio + ...","coef",10,-0.1834,0.8582,""
"15","NEC ~ NEP + ...","coef",6,2.0262,0.0891,""
