1,Phyllospadix,Control,After,13.56021048,-2.635514849
1,Phyllospadix,Control,Before,16.19572533,
18,Phyllospadix,Control,After,9.486995817,-1.666228604
18,Phyllospadix,Control,Before,11.15322442,
2,Phyllospadix,Removal,After,6.108422689,
2,Phyllospadix,Removal,Before,7.943681795,
20,Phyllospadix,Control,After,6.801910542,
20,Phyllospadix,Control,Before,8.106308006,
21,Phyllospadix,Removal,After,7.573675602,
21,Phyllospadix,Removal,Before,10.85604832,
22,Phyllospadix,Removal,After,6.393341875,
22,Phyllospadix,Removal,Before,9.532989789,
26,Phyllospadix,Removal,After,8.800629057,-7.443495153
26,Phyllospadix,Removal,Before,16.24412421,
27,Phyllospadix,Control,After,7.603792164,2.095439992
27,Phyllospadix,Control,Before,9.699232156,
28,Phyllospadix,Removal,After,5.391554313,
28,Phyllospadix,Removal,Before,9.372836475,
29,Phyllospadix,Control,After,4.744163118,
29,Phyllospadix,Control,Before,10.16498262,
3,Phyllospadix,Removal,After,4.414737025,
3,Phyllospadix,Removal,Before,9.917540063,
4,Phyllospadix,Control,After,7.575399525,
4,Phyllospadix,Control,Before,13.05211659,
5,Phyllospadix,Control,After,5.439976007,
5,Phyllospadix,Control,Before,8.317710764,
6,Phyllospadix,Removal,After,8.400079639,
6,Phyllospadix,Removal,Before,14.62468169,
7,Phyllospadix,Removal,After,5.251725955,
7,Phyllospadix,Removal,Before,6.187984086,
8,Phyllospadix,Control,After,5.589960833,
8,Phyllospadix,Control,Before,8.486603098,
